data,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor
2007-01-01,2.9834678069945184,1.422492,0.4508721429086145
2007-02-01,2.9834678069945184,1.412007,0.4800571926415662
2007-03-01,2.9834678069945184,1.427207,0.5008573503573702
2007-04-01,2.9834678069945184,1.47141,0.5444326922840478
2007-05-01,2.9834678069945184,1.61376,0.5862392754472355
2007-06-01,2.9834678069945184,1.877278,0.6462858111634133
2007-07-01,2.9834678069945184,2.119391,0.7342695641298775
2007-08-01,2.9834678069945184,2.218509,0.7617310732271102
2007-09-01,2.9834678069945184,2.00599,0.6953
2008-02-01,2.9834678069945184,1.591113,0.67633330338647
2008-03-01,2.9834678069945184,1.649116,0.6982383622629583
2008-05-01,2.9834678069945184,1.77044,0.72126055210193
2008-08-01,2.9834678069945184,1.835833,0.6202292861273285
2008-11-01,2.9834678069945184,1.698257,0.556647324275415
2009-01-01,2.9834678069945184,1.733666,0.5637442905540229
2009-02-01,2.9834678069945184,1.788127,0.5738473452186585
2009-03-01,2.9834678069945184,1.838337,0.5900224135204988
2009-04-01,2.9834678069945184,1.8982,0.6246520857524807
2009-05-01,2.9834678069945184,2.134079,0.6680459899730661
2009-06-01,2.9834678069945184,2.368842,0.7278224721905449
2009-08-01,2.9834678069945184,2.390305,0.7002166275399654
2009-11-01,2.9834678069945184,1.727325,0.5715369361753655
2010-01-01,2.9834678069945184,1.720001,0.5853804305706762
2010-02-01,2.9834678069945184,1.783774,0.6436969733519929
2010-03-01,2.9834678069945184,1.958926,0.7169959209143562
2010-04-01,2.9834678069945184,2.166211,0.7556285984703421
2010-05-01,2.9834678069945184,2.204605,0.7248224964797281
2010-06-01,2.9834678069945184,2.102452,0.6811087051949813
2010-07-01,2.9834678069945184,1.955011,0.6532102176473711
2010-08-01,2.9834678069945184,1.935615,0.6534011662421076
2010-09-01,2.9834678069945184,1.936245,0.6544494752443067
2010-10-01,2.9834678069945184,2.011904,0.6689126158366743
2010-11-01,2.9834678069945184,2.008399,0.6742390456992555
2010-12-01,2.9834678069945184,2.066693,0.6781655722671079
2011-01-01,2.9834678069945184,2.056287,0.6827492151391277
2011-02-01,2.9834678069945184,2.035471,0.6998794295748618
2011-03-01,2.9834678069945184,2.079595,0.7377958845473712
2011-04-01,2.9834678069945184,2.142254,0.7777851935473203
2011-05-01,2.9834678069945184,2.229743,0.8039369828606817
2011-06-01,2.9834678069945184,2.251872,0.8011770792985314
2011-07-01,2.9834678069945184,2.273626,0.8071319330647464
2011-08-01,2.9834678069945184,2.330055,0.8278653472838777
2011-09-01,2.9834678069945184,2.380188,0.8241288813512075
2011-10-01,2.9834678069945184,2.404957,0.7924810486851334
2011-11-01,2.9834678069945184,2.336073,0.7825790823385856
2011-12-01,2.9834678069945184,2.27078,0.7681375790058109
2012-01-01,2.9834678069945184,2.203876,0.7768155327006513
2012-02-01,2.9834678069945184,2.177809,0.7929968688306671
2012-03-01,2.9834678069945184,2.171227,0.8024135537380774
2012-04-01,2.9834678069945184,2.269476,0.808373710711387
2012-05-01,2.9834678069945184,2.26705,0.7919625320125451
2012-06-01,2.9834678069945184,2.207719,0.7821384246557934
2012-07-01,2.9834678069945184,2.199644,0.7872256508567301
2012-08-01,2.9834678069945184,2.181061,0.7996255966739193
2012-09-01,2.9834678069945184,2.24076,0.8096631885616276
2012-10-01,2.9834678069945184,2.303337,0.8221433198988966
2012-11-01,2.9834678069945184,2.319275,0.8226594629323896
2012-12-01,2.9834678069945184,2.334417,0.8109837733876508
2013-01-01,2.9834678069945184,2.369496,0.8219349344330831
2013-02-01,2.9834678069945184,2.305382,0.8427492603704608
2013-03-01,2.9834678069945184,2.366954,0.8765681434770932
2013-04-01,2.9834678069945184,2.501807,0.9094477079407493
2013-05-01,2.9834678069945184,2.566468,0.9420373670283416
2013-06-01,2.9834678069945184,2.739215,0.9797909827446156
2013-07-01,2.9834678069945184,2.94201,1.0143470728041926
2013-08-01,2.9834678069945184,3.04895,1.0377858679076235
2013-09-01,2.9834678069945184,3.059864,1.0390363747172544
2013-10-01,2.9834678069945184,3.001547,1.0195643995508692
2013-11-01,2.9834678069945184,2.837414,0.9601631684976244
2013-12-01,2.9834678069945184,2.6138257768,0.9180070253033786
2014-01-01,2.9834678069945184,2.38616155164072,0.9125452752715856
2014-02-01,2.9834678069945184,2.28713584724763,0.9418876702816612
2014-03-01,2.9834678069945184,2.425278852421387,0.9994664796867708
2014-05-01,2.9834678069945184,2.668442694284208,1.0128097720584732
2014-06-01,2.9834678069945184,2.671644825517349,1.012683343006864
2014-07-01,2.9834678069945184,2.7376344527076277,1.01188389014878
2014-08-01,2.14,2.800873808565173,1.0036817848316006
2014-09-01,2.0925,2.8524098866427723,0.9824346050710844
2014-10-01,1.888,2.8136171121844304,0.9403605873592904
2014-11-01,1.7275,2.627918382780258,0.8967975465188489
2014-12-01,1.643333333333333,2.52779469239633,0.8446
2015-01-01,1.5686266666666666,2.4153078285846936,0.8382
2015-02-01,1.6978153571428574,2.350577578778624,0.8554
2015-03-01,2.0184375,2.3773741631767003,0.8942
2015-04-01,1.976785714285714,2.519065663302032,0.9334
2015-05-01,2.0492962454212456,2.602446736757329,0.9537
2015-06-01,2.191692708333333,2.736069364456134,0.976
2015-08-01,2.039579899267399,2.8189516909575345,0.9844
2015-09-01,1.938173076923077,2.749605479359979,0.9731
2015-10-01,1.9472153846153843,2.685264711142956,0.9675
2015-12-01,1.8572669413919412,2.6481818499456025,0.966
2016-01-01,2.015808434065934,2.617462940486233,0.9981
