data,populacao_pessoas,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor
2007-02-01,188.6572449166666,0.0,-0.0073981665351089965,0.06272144570742022
2007-03-01,188.8175613333333,0.0,0.010707290974255879,0.04241608257544738
2007-04-01,188.97787774999992,0.0,0.030501737201303558,0.083422990212774
2007-05-01,189.13819416666655,0.0,0.09234573516481998,0.07398370518416852
2007-06-01,189.2985105833332,0.0,0.1512559954152103,0.09751381196690112
2007-07-01,189.458827,0.0,0.1213059279432942,0.1276343766964973
2007-08-01,189.61519108333331,0.0,0.045706565359002194,0.036717356344425855
2007-09-01,189.77155516666667,0.0,-0.10069764414127713,-0.0912501640158182
2008-02-01,190.5533755833334,0.0,-0.23170393313603954,-0.02765740022552826
2008-03-01,190.70973966666676,0.0,0.03580561542094696,0.03187453080079983
2008-05-01,191.02246783333345,0.0,0.07098871649622829,0.032439910332347055
2008-08-01,191.48843266666665,0.0,0.03627022619206066,-0.15091122200425877
2008-11-01,191.94814266666663,0.0,-0.07789589848468914,-0.10815735667995707
2009-01-01,192.25461599999997,0.0,0.02063581061035713,0.012668893816869975
2009-02-01,192.4078526666666,0.0,0.030930461730333203,0.017762648707175588
2009-03-01,192.56108933333329,0.0,0.02769265528400655,0.02779711334357471
2009-04-01,192.71432599999991,0.0,0.032044710118597663,0.057034306750118724
2009-05-01,192.86756266666657,0.0,0.11712910316144487,0.06716218648573657
2009-06-01,193.02079933333323,0.0,0.10436605626881523,0.08570014314579188
2009-08-01,193.30531041666663,0.0,0.009019744719556466,-0.03866740649531941
2009-11-01,193.69913366666665,0.0,-0.3248470037960268,-0.2030606437077897
2010-01-01,193.96168249999997,0.0,-0.0042490968475030755,0.023932833166091516
2010-02-01,194.0929569166666,0.0,0.036406472298132875,0.09496613255255365
2010-03-01,194.22423133333325,0.0,0.0936650193555787,0.10784207438894255
2010-04-01,194.3555057499999,0.0,0.1005831945491572,0.05247983211922563
2010-05-01,194.48678016666656,0.0,0.017568796106217865,-0.041623191164781415
2010-06-01,194.6180545833332,0.0,-0.04744407188959787,-0.06220487318892415
2010-07-01,194.749329,0.0,-0.07270846262006492,-0.04182291582515618
2010-08-01,194.8667690833333,0.0,-0.009970714577938411,0.00029228062521163833
2010-09-01,194.9842091666667,0.0,0.00032542499241172695,0.0016031023626902896
2010-10-01,195.10164925000004,0.0,0.038331006947024626,0.0218590461082121
2010-11-01,195.2190893333334,0.0,-0.0017436501119570957,0.007931282723738386
2010-12-01,195.3365294166667,0.0,0.02861185796773602,0.005806749768051012
2011-01-01,195.45396950000008,0.0,-0.005047815946613188,0.0067361457845488415
2011-02-01,195.5714095833334,0.0,-0.010174687544954986,0.024780465948375296
2011-03-01,195.68884966666675,0.0,0.021445921470338303,0.052759130397974086
2011-04-01,195.80628975000008,0.0,0.02968538254504094,0.05278317807533123
2011-05-01,195.92372983333345,0.0,0.04002778643279892,0.03307050136399772
2011-06-01,196.0411699166668,0.0,0.009875538102333659,-0.00343889116305629
2011-07-01,196.15861,0.0,0.009614043607853562,0.007405145319958839
2011-08-01,196.28461083333332,0.0,0.02451595854518729,0.02536337636972874
2011-09-01,196.41061166666668,0.0,0.02128760371112337,-0.0045235900216457625
2011-10-01,196.5366125,0.0,0.010352547819656333,-0.03915833495115559
2011-11-01,196.66261333333335,0.0,-0.02906070950229689,-0.012573611135244717
2011-12-01,196.78861416666672,0.0,-0.028347929670794914,-0.018626124564579433
2012-01-01,196.91461500000003,0.0,-0.029905756441987896,0.011234056095222156
2012-02-01,197.0406158333334,0.0,-0.011898302832750729,0.02061636058607058
2012-03-01,197.1666166666668,0.0,-0.0030268799915004196,0.011804854887254496
2012-04-01,197.2926175000001,0.0,0.04425652230126842,0.007400336848306238
2012-05-01,197.41861833333343,0.0,-0.0010695409797111255,-0.020510382221079038
2012-06-01,197.5446191666668,0.0,-0.026519571038950307,-0.012482344123813688
2012-07-01,197.67062,0.0,-0.003664326734805101,0.0064831916303736414
2012-08-01,197.8002935,0.0,-0.008484073438464135,0.01562868382524435
2012-09-01,197.929967,0.0,0.027003638386838502,0.012474730638009829
2012-10-01,198.0596405,0.0,0.02754384696915313,0.01529639036603142
2012-11-01,198.189314,0.0,0.006895695833913806,0.0006276047874218815
2012-12-01,198.3189875,0.0,0.0065075443051443305,-0.0142942939917442
2013-01-01,198.448661,0.0,0.014915093159161397,0.013413190970427008
2013-02-01,198.5783345,0.0,-0.027430884905634056,0.025008239743302962
2013-03-01,198.708008,0.0,0.026357507061864238,0.03934496984607813
2013-04-01,198.8376815,0.0,0.05540937431958537,0.03682305459127716
2013-05-01,198.967355,0.0,0.025517363818350236,0.035207440634938574
2013-06-01,199.0970285,0.0,0.06514074840330408,0.0392943244549821
2013-07-01,199.226702,0.0,0.071421638220041,0.03466114045545405
2013-08-01,199.35873775,0.0,0.035704247830635305,0.02284434302623524
2013-09-01,199.4907735,0.0,0.0035732014797906775,0.0012042503543067962
2013-10-01,199.62280925,0.0,-0.01924264810775078,-0.01891824404023597
2013-11-01,199.754845,0.0,-0.056234748446241545,-0.06002751859456314
2013-12-01,199.88688075,0.0,-0.0820781110356068,-0.044898193776989746
2014-01-01,200.0189165,0.0,-0.09112893341110195,-0.005967342465370867
2014-02-01,200.15095225,0.0,-0.042385716496437964,0.031648320518736374
2014-03-01,200.282988,0.0,0.05864619543273342,0.05933559481580658
2014-05-01,200.5470595,0.0,0.09554853321407597,0.013262083604004857
2014-06-01,200.67909525,0.0,0.0011992805754819091,-0.00012483779957881205
