,data,producao_leite,importacoes,exportacoes,oferta_total,populacao_pessoas,oferta_per_capita,taxa_desemprego,massa_salarial,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor,ano,mes,cluster,oferta_sem_importacao,diferenca_percentual,importacao_sobre_oferta_total,importacao%_oferta_total
80,2013-09-01,2008.586,107.32421073333333,6.5769392,2109.333271533333,199.4907735,10.573588114005348,0.07,141854.0,,3.059864,1.0390363747172544,2013,9,0,0.8390471585728082,1531.8261043576827,5.088063236935355,5.088063236935355
81,2013-10-01,2141.539,102.58233675,7.53752626,2236.5838104900004,199.62280925,11.204049371377137,0.068,143068.0,,3.001547,1.0195643995508692,2013,10,0,0.8939939479051958,1260.954950092605,4.58656350228726,4.58656350228726
82,2013-11-01,2171.098,77.0162065,10.11308975,2238.0011167499997,199.754845,11.203738846734856,0.066,143929.0,,2.837414,0.9601631684976243,2013,11,0,0.9057343932425436,661.5497182747735,3.4412943730717203,3.4412943730717203
83,2013-12-01,2230.842,81.06015733333332,30.367388939999998,2281.5347683933333,199.88688075,11.414129630882908,0.063,145117.0,,2.6138257767999997,0.9180070253033786,2013,12,0,0.9300435291324142,166.93160051887335,3.5528784595474843,3.5528784595474843
84,2014-01-01,2229.486,75.39597166666667,50.48451329999999,2254.397458366667,200.0189165,11.270921259923268,0.065,150728.0,,2.3861615516407197,0.9125452752715857,2014,1,1,0.9288646456596519,49.34475295152877,3.3443957003611864,3.3443957003611864
85,2014-02-01,1921.8,34.448971766666666,28.30309338666667,1927.94587838,200.15095225,9.632459184964983,0.068,152816.0,,2.28713584724763,0.9418876702816611,2014,2,0,0.8001460807439152,21.71451118800768,1.7868225531109405,1.7868225531109405
86,2014-03-01,2037.671,28.298145466666664,27.111759016666667,2038.8573864500001,200.282988,10.179883008585833,0.07200000000000001,154422.0,,2.425278852421387,0.9994664796867707,2014,3,0,0.8478299548170646,4.37591101805928,1.3879413859317833,1.3879413859317833
88,2014-05-01,1947.916,63.653558350000004,33.39509861999999,1978.1744597299999,200.5470595,9.863891620560011,0.071,151762.0,,2.6684426942842077,1.0128097720584732,2014,5,0,0.8094176685414495,90.60748726724384,3.21779295233081,3.21779295233081
89,2014-06-01,1938.758,60.57481786666667,21.013169356666666,1978.3196485100002,200.67909525,9.85812521252136,0.069,152116.0,,2.671644825517349,1.012683343006864,2014,6,0,0.8050821958579997,188.27073554922177,3.061932782818462,3.061932782818462
90,2014-07-01,2017.693,74.44415343333333,38.83225499999999,2053.3048984333336,200.811131,10.225055195935996,0.07,152153.0,,2.7376344527076273,1.0118838901487799,2014,7,0,0.8373095778905469,91.7070060271631,3.6255771605149345,3.6255771605149345
91,2014-08-01,2124.384,57.56541406666666,32.17129966666667,2149.7781144,200.94384025,10.698402656808984,0.07,153529.0,2.14,2.800873808565173,1.0036817848316006,2014,8,0,0.8810023725024335,78.93406440869202,2.6777374688612032,2.6777374688612032
92,2014-09-01,2085.161,59.28908563333334,20.42575165,2124.0243339833332,201.0765495,10.563262296199952,0.069,154774.0,2.0925,2.8524098866427723,0.9824346050710845,2014,9,0,0.8641654986558573,190.26635910034358,2.7913562328235817,2.7913562328235817
93,2014-10-01,2118.9,71.55086598333334,43.907779999999995,2146.5430859833336,201.20925875,10.668212284656278,0.067,156527.0,1.888,2.8136171121844304,0.9403605873592903,2014,10,0,0.8775689602802634,62.95714787523611,3.3333067689417386,3.3333067689417386
94,2014-11-01,2152.048,71.98701125000001,36.013852199999995,2188.0211590499994,201.341968,10.867188697837697,0.066,156521.0,1.7275,2.627918382780258,0.8967975465188489,2014,11,0,0.8907101441132895,99.88700695006467,3.2900509646467726,3.2900509646467726
95,2014-12-01,2262.423,85.61798195,45.34093726,2302.7000446899997,201.47467725,11.429228110055202,0.066,158639.0,1.6433333333333333,2.52779469239633,0.8446,2014,12,0,0.9357764090921256,88.83152207251042,3.7181560901704978,3.7181560901704978
96,2015-01-01,2207.717,76.12459051666669,7.8413124666666665,2276.00027805,201.6073865,11.289270286979292,0.069,165165.0,1.5686266666666666,2.4153078285846936,0.8382,2015,1,0,0.9125479966809981,870.8143992510372,3.344665255572273,3.344665255572273
97,2015-02-01,1899.716,63.763029866666656,18.751395196666667,1944.7276346699998,201.74009575,9.63976758036212,0.075,165635.0,1.6978153571428574,2.3505775787786236,0.8554,2015,2,0,0.7847208859405267,240.04418976781773,3.2787640145550037,3.2787640145550037
98,2015-03-01,2027.962,94.25980341666667,35.319604593333324,2086.9021988233335,201.872805,10.337708433898927,0.08,165516.0,2.0184375,2.3773741631767003,0.8942,2015,3,0,0.8371451188451725,166.87672328715274,4.516733149728509,4.516733149728509
99,2015-04-01,1851.024,93.13812798333335,24.001813506666668,1920.1603144766666,202.00551425,9.50548464781162,0.081,161719.0,1.9767857142857141,2.519065663302032,0.9334,2015,4,0,0.7636029173396685,288.0462114142484,4.850539159732495,4.850539159732495
100,2015-05-01,1886.178,97.94420546666669,17.47148073333333,1966.6507247333336,202.1382235,9.729237205517112,0.083,162437.0,2.0492962454212456,2.602446736757329,0.9537,2015,5,0,0.7775941495795325,460.59475989234153,4.980254207566387,4.980254207566387
101,2015-06-01,1908.257,96.85492995,29.49700975,1975.6149202000001,202.27093275,9.76717165111308,0.084,164686.0,2.191692708333333,2.736069364456134,0.976,2015,6,0,0.7861802707125088,228.35507995857105,4.902520676458293,4.902520676458293
103,2015-08-01,2018.111,77.3016525,54.34964755,2041.06300495,202.52599891666665,10.078029565921737,0.08900000000000001,164946.0,2.039579899267399,2.8189516909575345,0.9844,2015,8,1,0.8303917401531544,42.23027376375323,3.7873231895599253,3.7873231895599253
104,2015-09-01,1987.9,85.63290106666666,55.0937345,2018.439166566667,202.6483558333333,9.96030369092517,0.09,165524.0,1.938173076923077,2.749605479359979,0.9731,2015,9,1,0.817466949840826,55.43128786571305,4.242530688320267,4.242530688320267
105,2015-10-01,2073.924,142.07505611666667,51.2000404,2164.7990157166664,202.77071274999997,10.676093141644621,0.091,166401.0,1.9472153846153843,2.6852647111429557,0.9675,2015,10,1,0.8523272303780963,177.4901250208128,6.562967512696881,6.562967512696881
107,2015-12-01,2150.814,100.51428031666666,25.73016043333333,2225.5981198833333,203.0154265833333,10.962704447338021,0.091,174430.0,1.8572669413919414,2.6481818499456025,0.966,2015,12,0,0.882861480117267,290.64770146730507,4.516281687097024,4.516281687097024
108,2016-01-01,2071.752,64.15043698333334,15.789163199999999,2120.113273783333,203.13778349999993,10.436823899790824,0.096,191694.0,2.015808434065934,2.6174629404862335,0.9981,2016,1,0,0.8498960509727137,306.29409026143543,3.0258023369127423,3.0258023369127423
109,2016-02-01,1891.572,57.30708696666666,28.32967741666667,1920.5494095499998,203.2601404166666,9.448726177267375,0.10300000000000001,192558.0,2.2155782142857143,2.681590782528146,1.0456,2016,2,0,0.7755135841039439,102.2864084324245,2.9838902702375236,2.9838902702375236
110,2016-03-01,1898.053,138.97967043333335,7.769987083333333,2029.26268335,203.38249733333325,9.977567932132061,0.111,188501.0,2.4030088571428574,2.847026162674655,1.1068,2016,3,0,0.7777025329475585,1688.6731205956,6.848776729284714,6.848776729284714
111,2016-04-01,1748.969,170.25093178333333,7.908115783333332,1911.311816,203.5048542499999,9.39197162172853,0.113,172922.0,2.472227619047619,2.996779738831342,1.1571,2016,4,0,0.7161864379294861,2052.8634183903064,8.907543518442484,8.907543518442484
112,2016-05-01,1742.061,201.61024458333338,18.2259405,1925.4453040833332,203.62721116666657,9.455736750759593,0.113,174028.0,2.7533720238095243,3.1322341830265183,1.2165,2016,5,0,0.7129290293190657,1006.1719672756167,10.470837273630895,10.470837273630895
113,2016-06-01,1728.491,191.34336118333334,15.5242848,1904.3100763833334,203.74956808333323,9.34632693603784,0.114,173304.0,3.4725222564102567,3.557591585081519,1.3813,2016,6,0,0.7069507828735823,1132.5421985516095,10.047909925821154,10.047909925821154
114,2016-07-01,1897.102,178.8308873,17.77670571666666,2058.1561815833334,203.871925,10.095338931946285,0.11699999999999999,174161.0,3.6502549159663866,4.131786866913676,1.5768,2016,7,0,0.7754468072704633,905.9844053802161,8.68888808829007,8.68888808829007
115,2016-08-01,1988.565,192.9439085,27.21544818333333,2154.293460316667,203.983561,10.561113110073938,0.11900000000000001,176227.0,2.8282983333333336,4.216488497685406,1.5257,2016,8,0,0.8123877688359405,608.9499581276723,8.956250021370742,8.956250021370742
116,2016-09-01,1962.994,225.54814901666663,32.153895166666665,2156.3882538499997,204.095197,10.565600198078153,0.11900000000000001,175960.0,2.140595382819795,3.7050284429161664,1.3961,2016,9,0,0.8015026112218275,601.4644659614619,10.45953337085632,10.45953337085632
117,2016-10-01,2047.772,150.7790381,21.12512115,2177.42591695,204.206833,10.662845532450916,0.11900000000000001,176222.0,1.957764375,3.1318605427970354,1.2331,2016,10,0,0.8356609039946604,613.7428326653644,6.924646066085302,6.924646066085302
118,2016-11-01,2052.393,164.47135093333333,30.514193633333328,2186.3501573,204.318469,10.700697631499969,0.12,176939.0,1.9481933338720103,2.8869490483503073,1.191,2016,11,0,0.8370890347656238,438.99949941219114,7.522644549144165,7.522644549144165
119,2016-12-01,2139.931,144.27713029999998,13.73569035,2270.47243995,204.430105,11.106350700891143,0.122,184184.0,2.0239852602707753,2.8710708285843807,1.1885,2016,12,0,0.8723156666838934,950.3813541486829,6.354498198761542,6.354498198761542
