,data,producao_leite,importacoes,exportacoes,oferta_total,populacao_pessoas,oferta_per_capita,taxa_desemprego,massa_salarial,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor,ano,mes
216,2025-01-01,2304.7536600000003,202.35073135,4.7331564666666655,2502.3712348833337,213.00239349999995,11.74808974568323,,,4.1836875,5.0205320669056634,,2025,1
217,2025-02-01,2017.5078195348506,205.0,6.0,2216.5078195348506,213.0721674166666,10.402615444373962,,,4.429275714285715,4.937693287801721,,2025,2
218,2025-03-01,2141.189274820937,166.77148841108698,6.0,2301.960763232024,213.14194133333325,10.80013041465162,,,,,,2025,3
219,2025-04-01,1999.670449544783,149.30963697989174,6.0,2142.980086524675,213.2117152499999,10.05094904851705,,,,,,2025,4
220,2025-05-01,2031.7189294655498,148.96891693889316,6.0,2174.687846404443,213.28148916666657,10.196327186674209,,,,,,2025,5
221,2025-06-01,2010.1751783984162,154.62668364539806,6.0,2158.8018620438143,213.35126308333324,10.118533309083828,,,,,,2025,6
222,2025-07-01,2150.2012455768745,185.77033128837664,6.0,2329.9715768652513,213.421037,10.917253564208158,,,,,,2025,7
223,2025-08-01,2204.388179147977,155.54708383641105,6.0,2353.935262984388,213.4869465,11.026132049644488,,,,,,2025,8
224,2025-09-01,2179.686064949159,155.5492642743006,6.0,2329.2353292234598,213.552856,10.907067097353453,,,,,,2025,9
225,2025-10-01,2266.222007283324,174.50082351622547,6.0,2434.7228307995492,213.6187655,11.397513814391692,,,,,,2025,10
226,2025-11-01,2254.305819153464,160.92982045821674,6.0,2409.235639611681,213.684675,11.27472355989816,,,,,,2025,11
227,2025-12-01,2344.2828779967963,178.87512861142315,6.0,2517.1580066082192,213.7505845,11.776145606788829,,,,,,2025,12
